Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4yDPUrGef0gWT4LSS13lwy,"Mother Of Pearl","Stranded","Roxy Music",1973-11-01,412533,39,1218027748,2019-12-20T20:41:58Z,"art rock,glam rock,melancholia,new romantic,new wave,new wave pop,sophisti-pop","EG Records",0.451,0.875,9,-7.548,1,0.0604,0.0359,0.000405,0.21,0.596,101.08,4
0VytyJNppKNGEs66GevIWX,"Orange Blossom","Gardens & Villa","Gardens & Villa",2011-07-05,260800,0,1218027748,2019-12-19T20:13:40Z,"chillwave,shimmer pop","Secretly Canadian",0.733,0.491,0,-5.915,1,0.0891,0.547,0.000122,0.0709,0.658,172.076,4
2iSPWLgB8iss6TXxaKHi3K,"You Make Me Feel Like Dancing","Charlie's Angels - Music From the Motion Picture","Leo Sayer",2000-10-24,171106,0,1218027748,2019-12-19T20:12:52Z,"mellow gold,soft rock","Columbia/Sony Music Soundtrax",0.727,0.71,8,-6.259,0,0.0388,0.117,0.00000254,0.103,0.839,95.598,4
6C5f4vqI7k4U7Z2G8uoo60,"Bluebird Is Dead","On the Third Day","Electric Light Orchestra",1973-11-01,262466,36,1218027748,2019-12-19T20:35:53Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock","Epic/Legacy",0.422,0.394,9,-13.126,1,0.0366,0.398,0.0000371,0.199,0.317,129.289,4
037DAJ2ClglNQbEvXpGav4,"Why Can't I Touch It? - 2001 Remastered Version","Singles Going Steady","Buzzcocks",1979,396333,43,1218027748,2019-12-20T20:43:39Z,"alternative rock,britpop,madchester,new wave,post-punk,punk,uk post-punk","Domino Recording Co",0.587,0.613,0,-9.444,0,0.0341,0.000179,0.151,0.178,0.655,85.693,4
3ziCNz5vq8pEeRZjPElfYR,"Moonage Daydream - 2012 Remastered Version","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version)","David Bowie",1972-06-06,280530,0,1218027748,2019-12-19T20:22:07Z,"art rock,classic rock,glam rock,permanent wave,rock","Parlophone UK",0.556,0.61,11,-11.227,0,0.035,0.0408,0.000266,0.0474,0.736,144.092,4
05zCw24BdvZKGeC5NXowVe,"Evil Woman","The Essential Electric Light Orchestra","Electric Light Orchestra",2011-10-10,252373,45,1218027748,2019-12-19T20:26:34Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock","Epic",0.697,0.656,9,-7.062,0,0.0283,0.43,0.0000466,0.221,0.881,119.632,4
3R30L1nkH6nUVAsyAc0xMW,"Love You More - 1996 Remastered Version","Love Bites","Buzzcocks",1978,110000,26,1218027748,2019-12-20T20:45:54Z,"alternative rock,britpop,madchester,new wave,post-punk,punk,uk post-punk","Domino Recording Co",0.33,0.793,4,-6.3,1,0.0937,0.00139,0,0.406,0.754,87.459,4
4JmZyfkzXWN7pHJsJpN6XP,"Got To Give It Up","Favorites","Marvin Gaye",2008-01-01,361093,53,1218027748,2019-12-19T20:11:30Z,"classic soul,motown,neo soul,northern soul,quiet storm,soul","Motown",0.838,0.806,2,-9.737,1,0.0407,0.213,0.00214,0.354,0.847,123.121,4
0shPL30nWzEkJzPZ2Anb2m,"Do The Strand","For Your Pleasure","Roxy Music",1973-03-01,243800,35,1218027748,2019-12-20T20:41:17Z,"art rock,glam rock,melancholia,new romantic,new wave,new wave pop,sophisti-pop","EG Records",0.441,0.948,2,-4.939,1,0.079,0.00841,0.171,0.243,0.456,137.046,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau","Elton John",1972-05-19,281613,79,1218027748,2019-12-19T20:28:02Z,"glam rock,mellow gold,piano rock,rock","EMI",0.601,0.532,10,-9.119,1,0.0286,0.433,0.00000595,0.0925,0.342,136.576,4
6jX5mso4x00c1EiNMrTU9U,"Please Mr. Postman - Single Version / Mono","Please Mr. Postman","The Marvelettes",1961,148040,62,1218027748,2019-12-19T20:29:45Z,"classic girl group,classic soul,motown,soul,southern soul","UNI/MOTOWN",0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,4
2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,83,1218027748,2019-12-19T20:30:03Z,"new romantic,new wave,new wave pop,permanent wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
7Cuk8jsPPoNYQWXK9XRFvG,"September","September","Earth, Wind & Fire",2018-04-17,215080,61,1218027748,2019-12-19T20:31:52Z,"disco,funk,jazz funk,motown,soul","Columbia/Legacy",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4
7fp41IDi1dqARoX0Nuvz5O,"The Oogum Boogum Song","The Very Best Of","Brenton Wood",2017-02-24,153413,47,1218027748,2019-12-19T20:33:58Z,"classic soul,souldies","The Bicycle Music Company",0.885,0.64,7,-5.305,1,0.0431,0.765,0,0.247,0.851,112.658,4
